Date,Month,Year,Title,Director,Cast,Genre,Budget,Box Office
24,Nov,2017,Ajji,Devashish Makhija,"Sudhir Pandey, Sushma Deshpande",Drama,12,0
17,Nov,2017,Aksar 2,Ananth Narayan Mahadevan,"Zareen Khan, Gautam Rode, Abhinav Shukla, Mohit Madaan",Thriller,180,56
17,Nov,2017,Dil Jo Na Keh Saka,Naresh Lalwani,"Himansh Kohli, Priya Banerjee",Romantic Drama,100,1
3,Nov,2017,Ittefaq,Abhay Chopra,"Sidharth Malhotra, Sonakshi Sinha , Akshaye Khanna",Thriller,240,302
24,Nov,2017,Julie 2,Deepak Shivdasani,"Raai Laxmi, Ravi Kishan , Aditya Srivastava",Erotic Thriller,200,22.5
24,Nov,2017,Kadvi Hawa,Nila Madhab Panda,"Sanjay Mishra, Ranvir Shorey, Tillotama Shome, Bupesh Singh, Ekta Sawant","Drama,disaster",0,2.5
17,Nov,2017,Panchlait,Prem Prakash Modi,"Amitosh Nagpal, Anuradha Mukherjee , Yashpal Sharma",Romantic Comedy,0,0.3
10,Nov,2017,Qarib Qarib Singlle,Tanuja Chandra,"Irrfan Khan, Parvathy, Brijendra Kala","Romance,Comedy",200,170.5
3,Nov,2017,Ribbon,Rakhee Sandilya,"Kalki Koechlin, Sumeet Vyas, Hitesh Malhan",Drama,0,0
28,Nov,2017,Saankal,Dedipya Joshii,"Tanima Bhattacharya, Chetan Sharma, Harish Hariaudh",Drama,150,9.5
10,Nov,2017,Shaadi Mein Zaroor Aana,Ratnaa Sinha,"Rajkummar Rao, Kriti Kharbanda","Romance,Drama",150,110
3,Nov,2017,The House Next Door,Milind Rau,"Siddharth, Andrea Jeremiah , Atul Kulkarni",Horror,150,200
10,Nov,2017,The Window,VK Choudhary,"Amit Kumar Vashisth, Teena Singh , Preeti Sharma",Suspense Thriller,0,0
17,Nov,2017,Tumhari Sulu,Ruchi Chaudhari,"Vidya Balan , Manav Kaul","Social,Comedy",200,361.5
1,Dec,2017,Firangi,Rajiv Dhingra,"Kapil Sharma, Varun Badola , Edward Sonnenblick",Comedy,450,102.7
8,Dec,2017,Fukrey Returns,Mrighdeep Singh Lamba,"Pulkit Samrat, Priya Anand , Varun Sharma",Comedy,300,1208.3
8,Dec,2017,Game Over,Paresh Vinodray Savani,"Rajesh Sharma, Yashpal Sharma, Gurleen Chopra","Suspense,Thriller",73,50
15,Dec,2017,Monsoon Shootout,Amit Kumar,"Nawazuddin Siddiqui, Vijay Varma , Tannishtha Chatterjee","Crime,Thriller",100,10
8,Dec,2017,Sallu ki Shaadi,Mohammad Israr Ansari,"Zeenat Aman, Kiran Kumar, Asrani, Kshayp, Arshin and Sandeep Anand",Comedy Drama,50,0
1,Dec,2017,Tera Intezaar,Raajeev Waalia,"Arbaaz Khan , Sunny Leone",Romantic Thriller,200,20.7
22,Dec,2017,Tiger Zinda Hai,Ali Abbas Zafar,"Salman Khan , Katrina Kaif","Action,Drama",2100,5450
