,Release Date,Title,Director,Cast,Genre,Studio
101,03-Nov,Ribbon,Rakhee Sandilya,"Kalki Koechlin, Sumeet Vyas, Hitesh Malhan",Drama,Red Cart Films
102,10-Nov,Shaadi Mein Zaroor Aana,Ratnaa Sinha,"Rajkummar Rao, Kriti Kharbanda","Romance,drama",Vikrant Studios
103,10-Nov,Qarib Qarib Singlle,Tanuja Chandra,"Irrfan Khan, Parvathy, Brijendra Kala","Romance,comedy",Zee Studios and Jar Pictures
104,10-Nov,The Window,VK Choudhary,"Amit Kumar Vashisth, Teena Singh , Preeti Sharma",Suspense thriller,"Adamant Pictures, Milestone Creations and Era Films"
105,17-Nov,Aksar 2,Ananth Narayan Mahadevan,"Zareen Khan, Gautam Rode, Abhinav Shukla, Mohit Madaan",Thriller, Siddhi Vinayak Creation
106,17-Nov,Panchlait,Prem Prakash Modi,"Amitosh Nagpal, Anuradha Mukherjee , Yashpal Sharma",Romantic comedy,Funtime Entertainment
107,17-Nov,Tumhari Sulu,Ruchi Chaudhari,"Vidya Balan , Manav Kaul","Social,Comedy",T Series
108,17-Nov,Dil Jo Na Keh Saka,Naresh Lalwani,"Himansh Kohli, Priya Banerjee",Romantic drama,Diyas Productions
109,24-Nov,Julie 2,Deepak Shivdasani,"Raai Laxmi, Ravi Kishan , Aditya Srivastava",Erotic thriller,Triumph Talkies
110,24-Nov,Ajji,Devashish Makhija,"Sudhir Pandey, Sushma Deshpande",Drama,Yoodlee Films
111,24-Nov,Kadvi Hawa,Nila Madhab Panda,"Sanjay Mishra, Ranvir Shorey, Tillotama Shome, Bupesh Singh, Ekta Sawant","Drama,disaster",Drishyam Films
112,28-Nov,Saankal,Dedipya Joshii,"Tanima Bhattacharya, Chetan Sharma, Harish Hariaudh",Drama,Pisceann Pictures
113,01-Dec,Tera Intezaar,Raajeev Waalia,"Arbaaz Khan , Sunny Leone",Romantic thriller,Bageshree Films
114,01-Dec,Firangi,Rajiv Dhingra,"Kapil Sharma, Varun Badola , Edward Sonnenblick",Comedy,K9 Films
115,08-Dec,Fukrey Returns,Mrighdeep Singh Lamba,"Pulkit Samrat, Priya Anand , Varun Sharma",Comedy,Excel Entertainment
116,08-Dec,Game Over,Paresh Vinodray Savani,"Rajesh Sharma, Yashpal Sharma, Gurleen Chopra","Suspense,thriller","Dream Machine, Koning Entertainment and Dream International"
117,08-Dec,Sallu ki Shaadi,Mohammad Israr Ansari,"Zeenat Aman, Kiran Kumar, Asrani, Kshayp, Arshin and Sandeep Anand",Comedy drama,"Aman Film Production, Angel's Production, Brosis Production House, Worldwide Records"
118,15-Dec,Monsoon Shootout,Amit Kumar,"Nawazuddin Siddiqui, Vijay Varma , Tannishtha Chatterjee","Crime,thriller",Sikhya Entertainment
119,22-Dec,Tiger Zinda Hai,Ali Abbas Zafar,"Salman Khan , Katrina Kaif","Action,drama",Yash Raj Films
